,loss_curve,val_curve
0,0.07908957,0.04247228
1,0.0375198,0.033440698
2,0.03226412,0.031085044
3,0.03044405,0.0299056
4,0.029516062,0.029141147
5,0.028990943,0.028571565
6,0.028597765,0.028725116
7,0.028324204,0.028215645
8,0.028087098,0.028021092
9,0.027939709,0.027634745
10,0.027724354,0.027609762
11,0.027627373,0.027730018
12,0.027442666,0.027831024
13,0.027339034,0.02732019
14,0.02725765,0.027404264
15,0.027137114,0.027205558
16,0.027053824,0.027147375
17,0.026995895,0.02684509
18,0.026922137,0.027018318
19,0.026838865,0.02682731
20,0.026753444,0.02681876
21,0.026691515,0.02677452
22,0.026642645,0.027187334
23,0.026600296,0.02679864
24,0.026552184,0.02680218
25,0.026510067,0.026683474
26,0.026426412,0.026620122
27,0.026414208,0.026657041
28,0.026362322,0.026657019
29,0.026326044,0.026398279
30,0.026304457,0.026558433
31,0.026222954,0.026479268
32,0.026196517,0.026558883
33,0.026150947,0.026724791
34,0.026143288,0.026708229
35,0.02614144,0.026234305
36,0.026034523,0.026369013
37,0.026063073,0.026487296
38,0.026069865,0.026288813
39,0.02596265,0.02630328
40,0.025991594,0.026218705
41,0.02591816,0.026114615
42,0.025911504,0.026325628
43,0.025898524,0.026188405
44,0.025919544,0.026553174
45,0.025827313,0.026058625
46,0.025843345,0.0261456
47,0.02579942,0.026274463
48,0.025797047,0.025989044
49,0.02576418,0.025917996
